T_K;T_C;capacity_frac;w_residual;y_methanol_ppm;IP1_methanol;IP2_methanol;t_breakthrough_h
298.15;25.0;1.0000;0.000e+00;132.0;8.5900;2500.00;28.4536
298.15;25.0;0.7500;0.000e+00;132.0;6.4425;2500.00;21.3374
298.15;25.0;0.5000;0.000e+00;132.0;4.2950;2500.00;14.2156
298.15;25.0;0.4220;0.000e+00;132.0;3.6250;2500.00;11.9996
318.15;45.0;1.0000;0.000e+00;132.0;2.5793;750.67;11.0054
318.15;45.0;0.7500;0.000e+00;132.0;1.9345;750.67;8.2432
318.15;45.0;0.5000;0.000e+00;132.0;1.2896;750.67;5.4862
318.15;45.0;0.4220;0.000e+00;132.0;1.0885;750.67;4.6222
328.15;55.0;1.0000;0.000e+00;132.0;1.4954;435.23;6.4358
328.15;55.0;0.7500;0.000e+00;132.0;1.1216;435.23;4.8201
328.15;55.0;0.5000;0.000e+00;132.0;0.7477;435.23;3.1992
328.15;55.0;0.4220;0.000e+00;132.0;0.6311;435.23;2.6943
338.15;65.0;1.0000;0.000e+00;132.0;0.8962;260.84;3.7901
338.15;65.0;0.7500;0.000e+00;132.0;0.6722;260.84;2.8370
338.15;65.0;0.5000;0.000e+00;132.0;0.4481;260.84;1.8735
338.15;65.0;0.4220;0.000e+00;132.0;0.3782;260.84;1.5710
298.15;25.0;1.0000;0.000e+00;88.0;8.5900;2500.00;34.1694
298.15;25.0;1.0000;0.000e+00;132.0;8.5900;2500.00;28.4536
298.15;25.0;1.0000;0.000e+00;160.0;8.5900;2500.00;25.7239
298.15;25.0;1.0000;0.000e+00;190.0;8.5900;2500.00;23.3302
298.15;25.0;1.0000;0.000e+00;226.0;8.5900;2500.00;20.9798
298.15;25.0;0.8500;0.000e+00;88.0;7.3015;2500.00;29.0415
298.15;25.0;0.8500;0.000e+00;132.0;7.3015;2500.00;24.1839
298.15;25.0;0.8500;0.000e+00;160.0;7.3015;2500.00;21.8634
298.15;25.0;0.8500;0.000e+00;190.0;7.3015;2500.00;19.8283
298.15;25.0;0.8500;0.000e+00;226.0;7.3015;2500.00;17.8328
298.15;25.0;0.7000;0.000e+00;88.0;6.0130;2500.00;23.9140
298.15;25.0;0.7000;0.000e+00;132.0;6.0130;2500.00;19.9106
298.15;25.0;0.7000;0.000e+00;160.0;6.0130;2500.00;18.0045
298.15;25.0;0.7000;0.000e+00;190.0;6.0130;2500.00;16.3266
298.15;25.0;0.7000;0.000e+00;226.0;6.0130;2500.00;14.6813
298.15;25.0;0.5500;0.000e+00;88.0;4.7245;2500.00;18.7873
298.15;25.0;0.5500;0.000e+00;132.0;4.7245;2500.00;15.6412
298.15;25.0;0.5500;0.000e+00;160.0;4.7245;2500.00;14.1408
298.15;25.0;0.5500;0.000e+00;190.0;4.7245;2500.00;12.8233
298.15;25.0;0.5500;0.000e+00;226.0;4.7245;2500.00;11.5290
298.15;25.0;0.4200;0.000e+00;88.0;3.6078;2500.00;14.3453
298.15;25.0;0.4200;0.000e+00;132.0;3.6078;2500.00;11.9371
298.15;25.0;0.4200;0.000e+00;160.0;3.6078;2500.00;10.7902
298.15;25.0;0.4200;0.000e+00;190.0;3.6078;2500.00;9.7828
298.15;25.0;0.4200;0.000e+00;226.0;3.6078;2500.00;8.7984
308.15;35.0;1.0000;0.000e+00;88.0;4.6136;1342.72;20.7290
308.15;35.0;1.0000;0.000e+00;132.0;4.6136;1342.72;18.3962
308.15;35.0;1.0000;0.000e+00;160.0;4.6136;1342.72;17.2250
308.15;35.0;1.0000;0.000e+00;190.0;4.6136;1342.72;16.1367
